Module,Renderer,ApiVersion,Width,Height,Fullscreen,AntiAliasing,AvgFPS,Duration,MaxGpuTemp,Score
FurMark,Quadro FX GRID K1/PCIe/SSE2,4.5.0 NVIDIA 352.79,1920,1080,NO,Off,6,60000,0,408
GiMark,Quadro FX GRID K1/PCIe/SSE2,4.5.0 NVIDIA 352.79,1920,1080,NO,Off,11,60000,0,698
PixMark Piano,Quadro FX GRID K1/PCIe/SSE2,4.5.0 NVIDIA 352.79,1920,1080,NO,Off,1,60000,0,83
PixMark Volplosion,Quadro FX GRID K1/PCIe/SSE2,4.5.0 NVIDIA 352.79,1920,1080,NO,Off,3,60000,0,187
TessMark,Quadro FX GRID K1/PCIe/SSE2,4.5.0 NVIDIA 352.79,1920,1080,NO,Off,31,60000,0,1886
FurMark,GeForce GTX 980/PCIe/SSE2,4.5.0 NVIDIA 352.79,1024,640,NO,Off,71,60000,0,4264
GiMark,GeForce GTX 980/PCIe/SSE2,4.5.0 NVIDIA 352.79,1024,640,NO,Off,67,60000,0,4069
PixMark Piano,GeForce GTX 980/PCIe/SSE2,4.5.0 NVIDIA 352.79,1024,640,NO,Off,42,60000,0,2544
PixMark Volplosion,GeForce GTX 980/PCIe/SSE2,4.5.0 NVIDIA 352.79,1024,640,NO,Off,85,60000,0,5106
TessMark,GeForce GTX 980/PCIe/SSE2,4.5.0 NVIDIA 352.79,1024,640,NO,Off,257,60000,0,15411
