Module;Renderer;ApiVersion;Width;Height;Fullscreen;AntiAliasing;AvgFPS;Duration;MaxGpuTemp;Score
FurMark;Quadro FX GRID K1/PCIe/SSE2;4.5.0 NVIDIA 352.79;1024;640;NO;Off;13;60000;0;821
GiMark;Quadro FX GRID K1/PCIe/SSE2;4.5.0 NVIDIA 352.79;1024;640;NO;Off;16;60000;0;998
PixMark Piano;Quadro FX GRID K1/PCIe/SSE2;4.5.0 NVIDIA 352.79;1024;640;NO;Off;4;60000;0;253
PixMark Volplosion;Quadro FX GRID K1/PCIe/SSE2;4.5.0 NVIDIA 352.79;1024;640;NO;Off;9;60000;0;551
TessMark;Quadro FX GRID K1/PCIe/SSE2;4.5.0 NVIDIA 352.79;1024;640;NO;Off;65;60000;0;3953
FurMark;Quadro FX GRID K2/PCIe/SSE2;4.5.0 NVIDIA 352.79;1024;640;NO;Off;31;60000;0;1905
GiMark;Quadro FX GRID K2/PCIe/SSE2;4.5.0 NVIDIA 352.79;1024;640;NO;Off;27;60000;0;1661
PixMark Piano;Quadro FX GRID K2/PCIe/SSE2;4.5.0 NVIDIA 352.79;1024;640;NO;Off;23;60000;0;1400
PixMark Volplosion;Quadro FX GRID K2/PCIe/SSE2;4.5.0 NVIDIA 352.79;1024;640;NO;Off;35;60000;0;2143
TessMark;Quadro FX GRID K2/PCIe/SSE2;4.5.0 NVIDIA 352.79;1024;640;NO;Off;69;60000;0;4194
FurMark;GeForce GTX 980/PCIe/SSE2;4.5.0 NVIDIA 352.79;1024;640;NO;Off;71;60000;0;4264
GiMark;GeForce GTX 980/PCIe/SSE2;4.5.0 NVIDIA 352.79;1024;640;NO;Off;67;60000;0;4069
PixMark Piano;GeForce GTX 980/PCIe/SSE2;4.5.0 NVIDIA 352.79;1024;640;NO;Off;42;60000;0;2544
PixMark Volplosion;GeForce GTX 980/PCIe/SSE2;4.5.0 NVIDIA 352.79;1024;640;NO;Off;85;60000;0;5106
TessMark;GeForce GTX 980/PCIe/SSE2;4.5.0 NVIDIA 352.79;1024;640;NO;Off;257;60000;0;15411
;;;;;;;;;;
Module;Renderer;ApiVersion;Width;Height;Fullscreen;AntiAliasing;AvgFPS;Duration;MaxGpuTemp;Score
FurMark;Quadro FX GRID K1/PCIe/SSE2;4.5.0 NVIDIA 352.79;1920;1080;NO;Off;6;60000;0;408
GiMark;Quadro FX GRID K1/PCIe/SSE2;4.5.0 NVIDIA 352.79;1920;1080;NO;Off;11;60000;0;698
PixMark Piano;Quadro FX GRID K1/PCIe/SSE2;4.5.0 NVIDIA 352.79;1920;1080;NO;Off;1;60000;0;83
PixMark Volplosion;Quadro FX GRID K1/PCIe/SSE2;4.5.0 NVIDIA 352.79;1920;1080;NO;Off;3;60000;0;187
TessMark;Quadro FX GRID K1/PCIe/SSE2;4.5.0 NVIDIA 352.79;1920;1080;NO;Off;31;60000;0;1886
FurMark;Quadro FX GRID K2/PCIe/SSE2;4.5.0 NVIDIA 352.79;1920;1080;NO;Off;14;60000;0;844
GiMark;Quadro FX GRID K2/PCIe/SSE2;4.5.0 NVIDIA 352.79;1920;1080;NO;Off;13;60000;0;834
PixMark Piano;Quadro FX GRID K2/PCIe/SSE2;4.5.0 NVIDIA 352.79;1920;1080;NO;Off;7;60000;0;468
PixMark Volplosion;Quadro FX GRID K2/PCIe/SSE2;4.5.0 NVIDIA 352.79;1920;1080;NO;Off;14;60000;0;845
TessMark;Quadro FX GRID K2/PCIe/SSE2;4.5.0 NVIDIA 352.79;1920;1080;NO;Off;26;60000;0;1585
FurMark;GeForce GTX 980/PCIe/SSE2;4.5.0 NVIDIA 352.79;1920;1080;NO;Off;37;60000;0;2256
GiMark;GeForce GTX 980/PCIe/SSE2;4.5.0 NVIDIA 352.79;1920;1080;NO;Off;38;60000;0;2284
PixMark Piano;GeForce GTX 980/PCIe/SSE2;4.5.0 NVIDIA 352.79;1920;1080;NO;Off;15;60000;0;951
PixMark Volplosion;GeForce GTX 980/PCIe/SSE2;4.5.0 NVIDIA 352.79;1920;1080;NO;Off;42;60000;0;2535
TessMark;GeForce GTX 980/PCIe/SSE2;4.5.0 NVIDIA 352.79;1920;1080;NO;Off;97;60000;0;5851
